key,en_US,de_DE,fr_FR,es_ES
BIN.NOT.FOUND,Cannot locate bin directory (looked in $1),Bin-Verzeichnis kann nicht gefunden werden (gesucht in $1),Impossible de localiser le répertoire bin (cherché dans $1),No se puede localizar el directorio bin (buscado en $1)
CONFIG.NOT.FOUND,Cannot read config.json,Kann config.json nicht lesen,Impossible de lire config.json,No se puede leer config.json
CONFIG_DATA_NOT_FOUND,Configuration data not found,Konfigurationsdaten nicht gefunden,Données de configuration introuvables,Datos de configuración no encontrados
CONFIG_NOT_FOUND,Configuration data not found,Konfigurationsdaten nicht gefunden,Données de configuration introuvables,Datos de configuración no encontrados
ERROR,Error,Fehler,Erreur,Error
EVENT.ERROR,Could not execute event: $1,Ereignis konnte nicht ausgeführt werden: $1,Impossible d'exécuter l'événement : $1,No se pudo ejecutar el evento: $1
EXE.NOT.FOUND,Cannot determine executable location,Speicherort der ausführbaren Datei kann nicht ermittelt werden,Impossible de déterminer l'emplacement de l'exécutable,No se puede determinar la ubicación del ejecutable
INCONSISTENT.ERROR,System was found in an inconsistent state: $1,Das System wurde in einem inkonsistenten Zustand vorgefunden: $1,Le système a été trouvé dans un état incohérent : $1,El sistema se encontró en un estado inconsistente: $1
JAR.NOT.FOUND,Bad JAR-URL: $1,Schlechte JAR-URL: $1,Mauvais JAR-URL : $1,JAR-URL incorrecto: $1
PROJECTS.NOT.FOUND,No projects defined in config.json,Keine Projekte in config.json definiert,Aucun projet défini dans config.json,No hay proyectos definidos en config.json
STARTUP.ERROR,A system check has failed: $1,Eine Systemprüfung ist fehlgeschlagen: $1,Une vérification du système a échoué : $1,Ha fallado una comprobación del sistema: $1
UNKNOWN.EVENT.ERROR,Unknown event: $1,,,
WARNING,Warning,Warnung,Avertissement,Advertencia
